Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
dainty-gold-crystal-station-chain-bracelet,Dainty Gold Crystal Station Chain Bracelet,<p>A whisper-fine gold chain dotted with crystals at intervals — so light it catches the light before it catches the eye. Layer it or wear it solo.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Station-set 5A clear zircon</li><li>Adjustable length</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>,herprint,Bracelets,"Bracelets, Gold, Clear, Chain, Dainty, New",FALSE,Title,Default Title,shopify,100,deny,manual,54.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/BC_01_W_detail.jpg,1,Dainty Gold Crystal Station Chain Bracelet,draft
dainty-gold-crystal-station-chain-bracelet,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/BC_01_W_whole.jpg,2,Dainty Gold Crystal Station Chain Bracelet,
dainty-gold-crystal-station-chain-bracelet,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/BC_01_ON.jpg,3,Dainty Gold Crystal Station Chain Bracelet,
vintage-gold-green-pear-pearl-botanical-bracelet,Vintage Gold Green Pear & Pearl Botanical Bracelet,"<p>A little sprig of gold leaves cradling a green pear crystal and a single pearl — like a pressed flower kept forever. Romantic and a touch old-world.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Pear-cut 5A green zircon, shell pearl & clear zircon</li><li>Adjustable length</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Bracelets,"Bracelets, Gold, Green, Botanical, Vintage, New",FALSE,Title,Default Title,shopify,100,deny,manual,59.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/BC_02_W_detail.jpg,1,Vintage Gold Green Pear & Pearl Botanical Bracelet,draft
vintage-gold-green-pear-pearl-botanical-bracelet,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/BC_02_W_whole.jpg,2,Vintage Gold Green Pear & Pearl Botanical Bracelet,
dainty-gold-four-petal-clover-crystal-bracelet,Dainty Gold Four-Petal Clover Crystal Bracelet,"<p>A four-petal bloom with a crystal heart, strung on a fine gold chain. A quiet little wish for luck on your wrist.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Four-petal motif with 5A clear zircon</li><li>Adjustable length</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Bracelets,"Bracelets, Gold, Clear, Clover, Dainty, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/BC_03_W.jpg,1,Dainty Gold Four-Petal Clover Crystal Bracelet,draft
dainty-gold-four-petal-clover-crystal-bracelet,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/BC_03_ON.jpg,2,Dainty Gold Four-Petal Clover Crystal Bracelet,
bold-gold-curb-chain-crystal-bracelet,Bold Gold Curb Chain Crystal Bracelet,"<p>A chunkier curb chain interrupted by a single prong-set crystal — a little edge, a little sparkle. The everyday bracelet with attitude.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Prong-set round 5A clear zircon on a curb chain</li><li>Adjustable length</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Bracelets,"Bracelets, Gold, Clear, Chain, New",FALSE,Title,Default Title,shopify,100,deny,manual,54.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/BC_04_W.jpg,1,Bold Gold Curb Chain Crystal Bracelet,draft
bold-gold-curb-chain-crystal-bracelet,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/BC_04_ON.jpg,2,Bold Gold Curb Chain Crystal Bracelet,
dainty-gold-crystal-blossom-chain-bracelet,Dainty Gold Crystal Blossom Chain Bracelet,"<p>A small crystal blossom — a marquise petal among round stones — set on a delicate gold chain. Soft, feminine, endlessly wearable.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Marquise & round 5A clear zircon blossom</li><li>Adjustable length</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Bracelets,"Bracelets, Gold, Clear, Floral, Dainty, New",FALSE,Title,Default Title,shopify,100,deny,manual,54.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/BC_05_W.jpg,1,Dainty Gold Crystal Blossom Chain Bracelet,draft
dainty-gold-crystal-blossom-chain-bracelet,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/BC_05_ON.jpg,2,Dainty Gold Crystal Blossom Chain Bracelet,
bold-silver-curb-chain-crystal-bracelet,Bold Silver Curb Chain Crystal Bracelet,<p>A polished curb chain with a single prong-set crystal at its centre — cool-toned and quietly bold.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Prong-set round 5A clear zircon on a curb chain</li><li>Adjustable length</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>,herprint,Bracelets,"Bracelets, Silver, Clear, Chain, New",FALSE,Title,Default Title,shopify,100,deny,manual,54.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/BC_06_W.jpg,1,Bold Silver Curb Chain Crystal Bracelet,draft
bold-silver-curb-chain-crystal-bracelet,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/BC_06_ON.jpg,2,Bold Silver Curb Chain Crystal Bracelet,
dainty-silver-green-heart-crystal-bracelet,Dainty Silver Green Heart Crystal Bracelet,"<p>A single green heart on a fine silver chain — the bracelet to match the necklace, or to stand on its own.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Heart-cut 5A green zircon</li><li>Adjustable length</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Bracelets,"Bracelets, Silver, Green, Heart, Dainty, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/BC_07_W.jpg,1,Dainty Silver Green Heart Crystal Bracelet,draft
