Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
dainty-gold-pearl-green-crystal-stud-earrings,Dainty Gold Pearl & Green Crystal Stud Earrings,"<p>A single pearl with the tiniest wink of green crystal beneath — the quietest way to feel dressed. Made for everyday, made to never take off.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Shell pearl with 5A green zircon accent</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Pearl, Green, Stud, Dainty, New",FALSE,Title,Default Title,shopify,100,deny,manual,39.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_01_W.jpg,1,Dainty Gold Pearl & Green Crystal Stud Earrings,draft
dainty-gold-pearl-green-crystal-stud-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_01_ON.jpg,2,Dainty Gold Pearl & Green Crystal Stud Earrings,
gold-twisted-crystal-huggie-hoop-earrings,Gold Twisted Crystal Huggie Hoops,"<p>A twisted rope of gold hugging the lobe, lit by a single crystal. Texture and sparkle in one neat little hoop.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Single prong-set round 5A clear zircon</li><li>Hinged huggie closure</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Clear, Huggie, Hoop, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_02_W.jpg,1,Gold Twisted Crystal Huggie Hoops,draft
gold-twisted-crystal-huggie-hoop-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_02_ON.jpg,2,Gold Twisted Crystal Huggie Hoops,
minimalist-gold-crystal-bar-stud-earrings,Minimalist Gold Crystal Bar Stud Earrings,<p>A clean architectural bar with one crystal at its tip — minimalism with a glimmer. The stud you reach for on the busiest mornings.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Round-cut 5A clear zircon</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>,herprint,Earrings,"Earrings, Gold, Clear, Stud, Minimalist, New",FALSE,Title,Default Title,shopify,100,deny,manual,39.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_03_W.jpg,1,Minimalist Gold Crystal Bar Stud Earrings,draft
minimalist-gold-crystal-bar-stud-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_03_ON.jpg,2,Minimalist Gold Crystal Bar Stud Earrings,
dainty-gold-triple-crystal-huggie-hoop-earrings,Dainty Gold Triple Crystal Huggie Hoops,"<p>Three graduated crystals march across a slim gold hoop — a little line of light along the lobe. Dainty, modern, endlessly stackable.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Three graduated round 5A clear zircon</li><li>Hinged huggie closure</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Clear, Huggie, Hoop, Dainty, New",FALSE,Title,Default Title,shopify,100,deny,manual,49.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_04_W.jpg,1,Dainty Gold Triple Crystal Huggie Hoops,draft
dainty-gold-triple-crystal-huggie-hoop-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_04_ON.jpg,2,Dainty Gold Triple Crystal Huggie Hoops,
sculptural-gold-curved-dome-stud-earrings,Sculptural Gold Curved Dome Stud Earrings,"<p>A smooth, organic curve of polished gold — no stones, all shape. The kind of sculptural stud that quietly elevates everything.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Sold as a pair</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Earrings,"Earrings, Gold, Stud, Sculptural, Minimalist, New",FALSE,Title,Default Title,shopify,100,deny,manual,39.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_05_W.jpg,1,Sculptural Gold Curved Dome Stud Earrings,draft
sculptural-gold-curved-dome-stud-earrings,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/ER_05_ON.jpg,2,Sculptural Gold Curved Dome Stud Earrings,
