Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
solitaire-gold-round-crystal-bypass-ring,Solitaire Gold Round Crystal Bypass Ring,"<p>One luminous round crystal, cradled where the band gently parts — a quiet solitaire with a modern bypass twist. Everyday brilliance for the woman who keeps her sparkle close.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Round-cut 5A clear zircon, open bypass setting</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Gold, Clear, Solitaire, New",FALSE,Title,Default Title,shopify,100,deny,manual,59.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_01_W.jpg,1,Solitaire Gold Round Crystal Bypass Ring,draft
solitaire-gold-round-crystal-bypass-ring,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_01_ON_01.jpg,2,Solitaire Gold Round Crystal Bypass Ring,
dainty-gold-marquise-scattered-crystal-ring,Dainty Gold Marquise & Scattered Crystal Ring,"<p>A marquise crystal at the centre, with smaller stones scattered along an open band like light caught mid-motion. Delicate, a little unexpected, entirely you.</p><ul><li>14k gold-plated sterling silver (95% recycled base)</li><li>Marquise &amp; round 5A clear zircon</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Gold, Clear, Marquise, Dainty, New",FALSE,Title,Default Title,shopify,100,deny,manual,59.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_02_W.jpg,1,Dainty Gold Marquise & Scattered Crystal Ring,draft
dainty-gold-marquise-scattered-crystal-ring,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_02_ON_01.jpg,2,Dainty Gold Marquise & Scattered Crystal Ring,
classic-silver-marquise-crystal-solitaire-ring,Classic Silver Marquise Crystal Solitaire Ring,"<p>A single marquise crystal, set high on a clean polished band. Timeless lines that carry from desk to dinner without a second thought.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Marquise-cut 5A clear zircon solitaire</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Silver, Clear, Marquise, Solitaire, New",FALSE,Title,Default Title,shopify,100,deny,manual,59.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_03_W.jpg,1,Classic Silver Marquise Crystal Solitaire Ring,draft
classic-silver-marquise-crystal-solitaire-ring,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_03_ON_01.jpg,2,Classic Silver Marquise Crystal Solitaire Ring,
sunlit-yellow-oval-crystal-solitaire-ring,Sunlit Yellow Oval Crystal Solitaire Ring,"<p>A warm oval of golden-yellow crystal, like a pocketful of sun. Set on an adjustable band that finds its perfect fit on any finger.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Oval-cut 5A yellow zircon</li><li>Adjustable open band</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Silver, Yellow, Oval, Solitaire, Adjustable, New",FALSE,Title,Default Title,shopify,100,deny,manual,59.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_04_W.jpg,1,Sunlit Yellow Oval Crystal Solitaire Ring,draft
sunlit-yellow-oval-crystal-solitaire-ring,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_04_ON.jpg,2,Sunlit Yellow Oval Crystal Solitaire Ring,
vintage-silver-lace-pave-band-ring,Vintage Silver Lace Pavé Band Ring,"<p>An openwork band worked like fine lace, scattered with crystals that catch the light through every tiny window. Old-world romance, made to stack or stand alone.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Pavé-set 5A clear zircon, filigree lace band</li><li>Hand-finished &amp; polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Rings,"Rings, Silver, Clear, Band, Statement, Vintage, New",FALSE,Title,Default Title,shopify,100,deny,manual,69.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_05_W.jpg,1,Vintage Silver Lace Pavé Band Ring,draft
vintage-silver-lace-pave-band-ring,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/RG_05_ON_01.jpg,2,Vintage Silver Lace Pavé Band Ring,
